2016-04-30 18:04:05 INFO  Verify:23 - Element By.id: j_username is visible
2016-04-30 18:04:06 INFO  Elements:48 - The textveda.checker has been inputted successfully.
2016-04-30 18:04:06 INFO  Verify:23 - Element By.id: j_password is visible
2016-04-30 18:04:06 INFO  Elements:48 - The textViteos321 has been inputted successfully.
2016-04-30 18:04:08 INFO  Elements:100 - The element By.xpath: //button[contains(text(),'Login')] has been clicked successfully
2016-04-30 18:04:08 INFO  Wait:39 - element By.xpath: //li[@id='header_notification_bar']//following-sibling::li/a is visible after waiting.
2016-04-30 18:04:12 INFO  Wait:39 - element By.xpath: //i[contains(@class, 'icon-home')] is visible after waiting.
2016-04-30 18:04:12 INFO  Verify:23 - Element By.xpath: //i[contains(@class, 'icon-home')] is visible
2016-04-30 18:04:13 INFO  Elements:87 - The button By.xpath: //i[contains(@class, 'icon-home')] has been clicked successfully
2016-04-30 18:04:13 INFO  Elements:100 - The element By.xpath: //a[@href='#' and contains(text(),'Transactions')] has been clicked successfully
2016-04-30 18:04:13 INFO  Elements:100 - The element By.xpath: //a[@href='#tra_1'] has been clicked successfully
2016-04-30 18:04:13 INFO  Wait:39 - element By.xpath: //div[@id='filterrow.jqxgridTransactionToOperate']/div/div[1]//input is visible after waiting.
2016-04-30 18:04:13 INFO  Verify:23 - Element By.xpath: //div[@id='filterrow.jqxgridTransactionToOperate']/div/div[1]//input is visible
2016-04-30 18:04:13 INFO  Elements:48 - The textTRA3222 has been inputted successfully.
2016-04-30 18:04:14 INFO  Wait:39 - element By.xpath: //div[@id='contenttablejqxgridTransactionToOperate']/div[1]/div[1]//a[text()='TRA3222'] is visible after waiting.
2016-04-30 18:04:14 INFO  Wait:39 - element By.xpath: //div[@role='gridcell']//div[normalize-space(text())='Transaction_SWI']//..//parent::div[@role='row']//a[normalize-space(text())='TRA3222'] is visible after waiting.
2016-04-30 18:04:17 INFO  Elements:100 - The element By.xpath: //div[@role='gridcell']//div[normalize-space(text())='Transaction_SWI']//..//parent::div[@role='row']//a[normalize-space(text())='TRA3222'] has been clicked successfully
2016-04-30 18:04:17 INFO  Wait:23 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'Request Details')] is present after waiting.
2016-04-30 18:04:17 INFO  Verify:35 - Element By.xpath: //input[@id='requestDate'] is present in DOM
2016-04-30 18:04:17 WARN  Elements:180 - The element By.xpath: //input[@id='requestDate'] has value '04/13/2016' for attribute value
2016-04-30 18:04:17 INFO  Verify:35 - Element By.xpath: //input[@id='requestTime'] is present in DOM
2016-04-30 18:04:17 WARN  Elements:180 - The element By.xpath: //input[@id='requestTime'] has value '1:15 PM' for attribute value
2016-04-30 18:04:17 INFO  Verify:35 - Element By.xpath: //label[normalize-space()='Mode of Request']//following-sibling::input is present in DOM
2016-04-30 18:04:17 WARN  Elements:180 - The element By.xpath: //label[normalize-space()='Mode of Request']//following-sibling::input has value 'Email' for attribute value
2016-04-30 18:04:17 INFO  Verify:35 - Element By.xpath: //label[normalize-space()='External ID Number']//following-sibling::input is present in DOM
2016-04-30 18:04:17 WARN  Elements:180 - The element By.xpath: //label[normalize-space()='External ID Number']//following-sibling::input has value '12345' for attribute value
2016-04-30 18:04:19 WARN  Wait:43 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//following-sibling::div//a[@class='expand'] is not present after waiting 2 secs.
2016-04-30 18:04:19 INFO  Wait:39 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//following-sibling::div//a[@class='collapse'] is visible after waiting.
2016-04-30 18:04:19 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Investor Name']//input is present in DOM
2016-04-30 18:04:19 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Investor Name']//input has value 'Treehouse Capital LLC' for attribute value
2016-04-30 18:04:19 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Holder Name']//input is present in DOM
2016-04-30 18:04:19 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Holder Name']//input has value 'Treehouse Capital LLC' for attribute value
2016-04-30 18:04:19 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Account ID']//input is present in DOM
2016-04-30 18:04:19 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Investor')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Account ID']//input has value 'AC0940' for attribute value
2016-04-30 18:04:22 WARN  Wait:43 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//following-sibling::div//a[@class='expand'] is not present after waiting 2 secs.
2016-04-30 18:04:22 INFO  Wait:39 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//following-sibling::div//a[@class='collapse'] is visible after waiting.
2016-04-30 18:04:22 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Client Name']//input is present in DOM
2016-04-30 18:04:22 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Client Name']//input has value 'Connective Capital' for attribute value
2016-04-30 18:04:22 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Fund Family Name']//input is present in DOM
2016-04-30 18:04:22 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Fund Family Name']//input has value 'Connective Capital I Master Fund Ltd' for attribute value
2016-04-30 18:04:22 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Legal Entity Name']//input is present in DOM
2016-04-30 18:04:22 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Legal Entity Name']//input has value 'Connective Capital I QP LP' for attribute value
2016-04-30 18:04:22 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Class Name']//input is present in DOM
2016-04-30 18:04:22 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Class Name']//input has value 'Class Y' for attribute value
2016-04-30 18:04:22 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Series Name']//input is present in DOM
2016-04-30 18:04:22 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'From Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Series Name']//input has value 'Series H' for attribute value
2016-04-30 18:04:25 WARN  Wait:43 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//following-sibling::div//a[@class='expand'] is not present after waiting 2 secs.
2016-04-30 18:04:25 INFO  Wait:39 - element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//following-sibling::div//a[@class='collapse'] is visible after waiting.
2016-04-30 18:04:25 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Client Name']//input is present in DOM
2016-04-30 18:04:25 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Client Name']//input has value 'Connective Capital' for attribute value
2016-04-30 18:04:25 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Fund Family Name']//input is present in DOM
2016-04-30 18:04:25 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Fund Family Name']//input has value 'Connective Capital I Master Fund Ltd' for attribute value
2016-04-30 18:04:25 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Legal Entity Name']//input is present in DOM
2016-04-30 18:04:25 WARN  Elements:180 - The element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Legal Entity Name']//input has value 'Connective Capital I QP LP' for attribute value
2016-04-30 18:04:25 INFO  Verify:35 - Element By.xpath: //div[@class='sub-caption' and contains(normalize-space(),'To Fund Details')]//parent::div[contains(@class,'title')]//following-sibling::div[contains(@class,'portlet')]//div[@data-original-title='Class Name']//input is present in DOM
