2016-04-28 15:56:44 INFO  Wait:39 - element By.xpath: //Label[text()='Full Transfer']/following-sibling::label[normalize-space(text())='Yes'] is visible after waiting.
2016-04-28 15:56:44 INFO  Verify:35 - Element By.xpath: //Label[text()='Effective Date']/following-sibling::label/input is present in DOM
2016-04-28 15:56:44 WARN  Elements:180 - The element By.xpath: //Label[text()='Effective Date']/following-sibling::label/input has value '01-Apr-2016' for attribute value
2016-04-28 15:56:44 INFO  Verify:35 - Element By.xpath: //Label[text()='NAV Date']/following-sibling::label/input is present in DOM
2016-04-28 15:56:44 WARN  Elements:180 - The element By.xpath: //Label[text()='NAV Date']/following-sibling::label/input has value '30-Apr-2013' for attribute value
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr//td[7]//span is visible
2016-04-28 15:56:44 INFO  Elements:31 - The xpath count of the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr//td[7]//span is 1
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[10]//span is visible
2016-04-28 15:56:44 WARN  Elements:198 - The text 1,031,329.73 from the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[10]//span is retrieved
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr//td[7]//span is visible
2016-04-28 15:56:44 INFO  Elements:31 - The xpath count of the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr//td[7]//span is 1
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[4]//span is visible
2016-04-28 15:56:44 WARN  Elements:198 - The text 1,031,329.73 from the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[4]//span is retrieved
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[6]//span is visible
2016-04-28 15:56:44 WARN  Elements:198 - The text 1,031,329.73 from the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[6]//span is retrieved
2016-04-28 15:56:44 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[7]//span is visible
2016-04-28 15:56:44 WARN  Elements:198 - The text 0 from the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[1]//td[7]//span is retrieved
2016-04-28 15:56:45 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr is visible
2016-04-28 15:56:45 INFO  Elements:31 - The xpath count of the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr is 2
2016-04-28 15:56:45 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[2]//td[2]//span is visible
2016-04-28 15:56:45 WARN  Elements:198 - The text 1,031,329.73 from the element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[2]//td[2]//span is retrieved
2016-04-28 15:56:45 INFO  Verify:23 - Element By.xpath: //input[@id='taxSlotSize']//following-sibling::div//tbody//tr[2]//td[4]//span is visible
